"rank","headword","pos","english","sample","range","rawFreq","oral","fiction","nonFiction"
2469,"pensión","nf","boarding house","vivía en una pensión con actrices y bohemios",83,"520","NA","NA","NA"
2208,"rodilla","nf","knee","estaba así de rodillas para mirar lo de abajo",82,"1107","NA","NA","NA"
2223,"misterio","nm","mystery","cosas hay que no llegan a saberse: es un mundo de misterio",83,"838","NA","NA","NA"
1926,"esquina","nf","corner","desapareció en la esquina sin mirar atrás",87,"1168","NA","NA","NA"
1619,"dominio","nm","power, control","intentaría extender su dominio e influencia",91,"1451","NA","NA","NA"
503,"posición","nf","position","-Vi que mi posición en aquel momento era inútil",100,"3302","NA","NA","NA"
178,"niño","nm","child, little boy","he tenido suerte desde que era niño",100,"9124","NA","NA","NA"
1609,"alimentar","v","to feed, support","la lejanía y la nostalgia alimentan la imaginación",95,"869","NA","NA","NA"
564,"médico","nm/f","doctor","el médico le toma la muestra al paciente",100,"2492","NA","NA","NA"
807,"contemplar","v","to contemplate","R. la contempló en silencio, compadecido",99,"1922","NA","NA","NA"
1932,"zapato","nm","shoe","todas las clases sociales llevaban sandalias o zapatos de madera",88,"1185","NA","NA","NA"
1416,"consciente","adj","conscious, aware","el pueblo está muy consciente de sus traidoras acciones",97,"874","NA","NA","NA"
1231,"sentado","adj","seated","el juez estaba sentado detrás de un escritorio",94,"1949","NA","NA","NA"
2416,"mentir","v","to (tell a) lie","está obligado a mentir o a callar la verdad de cosas terribles",83,"618","NA","NA","NA"
321,"estudio","nm","study, learning","he colaborado en un estudio de epidemiología descriptiva",100,"5155","high","NA","NA"
1914,"roto","adj","broken, torn","el pedazo de vidrio roto que alguna vez fue espejo",91,"754","NA","NA","NA"
1174,"rodear","v","to surround","consiguieron rodear a las tropas británicas",96,"1234","NA","NA","NA"
1624,"provincia","nf","province, region","nació en la provincia de Badajoz y se formó en la escuela sevillana",88,"1896","high","low","NA"
1671,"grito","nm","cry, shout, scream","la madre pega un grito de triunfo",88,"1870","NA","NA","NA"
1943,"colaborar","v","to collaborate, work together","colabora con sus empleadores en pequeños detalles",93,"549","NA","NA","NA"
2330,"pantalla","nf","screen, monitor","de pronto se ilumina la pantalla con números",82,"631","NA","NA","NA"
989,"calor","nm","heat, warmth","era verano, el piso todavía estaba caliente; hacía calor",95,"1966","NA","NA","NA"
1150,"frontera","nf","border, frontier","la frontera entre la Argentina y el Paraguay era el Río Paraguay",99,"1178","NA","NA","NA"
2090,"característico","adj","characteristic","un tipo de cáncer muy específico, característico de estas edades",92,"895","NA","NA","NA"
2348,"combinar","v","to combine","el alucine del peyote se combina con el fanatismo religioso",89,"659","NA","NA","NA"
1813,"triunfo","nm","triumph, victory","para nosotros el poder no será un triunfo sino un sacrificio",90,"1238","NA","NA","NA"
2267,"copa","nf","cup, glass, top (tree)","logró el subcampeonato en la Copa del Mundo en 1974",81,"983","NA","NA","NA"
1999,"sobrevivir","v","to survive, outlive","la capacidad de las personas para sobrevivir a las tragedias",88,"845","NA","NA","NA"
1907,"chica","nf","girl, female","es una chica joven de catorce años",80,"1666","NA","NA","low"
1517,"satisfacer","v","to satisfy","satisfacía su ego que ella le sacara las botas",97,"607","NA","NA","NA"
232,"cuerpo","nm","body","el cuerpo humano se compone de millones de células",100,"7615","NA","NA","NA"
795,"juicio","nm","judgment","no sabemos cuál será el juicio de la crítica sobre tus escritos",100,"1629","NA","NA","NA"
1561,"digno","adj","worthy","es digno de toda consideración",95,"790","NA","NA","NA"
1753,"permiso","nm","permission, permit","V. me dio permiso para hacer ciertos recortes",94,"656","NA","NA","NA"
1184,"ruido","nm","noise","sólo oigo el ruido del tráfico",94,"1752","NA","NA","NA"
472,"respuesta","nf","answer, reply","la única respuesta fue el silencio",100,"3232","NA","NA","NA"
908,"visión","nf","vision","teníamos sobre todo una misma visión de la vida",99,"1590","NA","NA","NA"
1021,"limitar","v","to limit","la terapia ambiental se limita a los pacientes hospitalizados",99,"1430","NA","NA","NA"
906,"generación","nf","generation","está criando la nueva generación de hijos",100,"1578","NA","NA","NA"
1251,"diálogo","nm","dialogue, conversation","en el primer acto, hay un diálogo entre Don José y Zúñiga",96,"1151","high","NA","NA"
1858,"afuera","adv","outside","vamos a salir afuera un rato",87,"1189","NA","NA","low"
1605,"interesado","adj","(self-) interested","tú estabas muy interesada en las ruinas de Tiahuanacu",96,"583","NA","NA","NA"
1018,"inventar","v","to invent, make up","los periodistas tienen que inventar malas noticias",97,"1221","NA","NA","NA"
203,"entender","v","to understand","todavía no entiendo demasiado bien lo que pasó",100,"7233","high","NA","NA"
1533,"aislado","adj","isolated","estaba solo, aislado en medio del gran silencio",96,"738","NA","NA","NA"
669,"quitar","v","to remove, take away","sin problemas quita la sábana que cubre la cara de uno",97,"2290","NA","NA","NA"
1614,"lujo","nm","luxury","no podía permitirse el lujo de comprometerlo",93,"724","NA","NA","NA"
1453,"inquietud","nf","restlessness, anxiety","tiene la intranquilidad e inquietud de niño",96,"715","NA","NA","NA"
2420,"colonia","nf","colony, cologne","la lucha por la independencia de las colonias de España",84,"754","NA","NA","NA"
969,"alumno","nm","student, pupil","yo fui muy buen alumno en la matemática",96,"1799","high","NA","NA"
980,"histórico","adj","historical","el único manuscrito histórico con miniaturas del mundo bizantino",96,"2314","NA","NA","NA"
2099,"huella","nf","trace, track, footstep","voy a borrar toda huella de tu nombre en esta casa",88,"710","NA","NA","NA"
559,"río","nm","river","recorriendo el río Amazonas y atravesando los Andes",99,"3192","NA","NA","NA"
76,"entonces","adv","so, then","vamos entonces a cambiarlo",100,"23548","high","NA","NA"
1160,"rama","nf","branch, bough, limb","el mono saltó de la rama y lo espantó",96,"1212","NA","NA","NA"
376,"intentar","v","to try, attempt","¿somos tan tontos como para intentar repetir la historia?",100,"4110","NA","NA","NA"
1038,"contenido","nm","contents, content","le llena la boca a la fuerza hasta vaciar el contenido del plato",97,"1718","NA","NA","NA"
2373,"taller","nm","workshop, shop","trabaja en un taller de automóviles",83,"593","NA","NA","NA"
1282,"conflicto","nm","conflict","el conflicto árabe-israelí tiene raíces profundamente religiosas",95,"2008","NA","NA","NA"
1461,"correspondiente","adj","corresponding","acompaña a la denuncia el correspondiente diagnóstico médico",94,"915","NA","NA","NA"
466,"obtener","v","to obtain","se hace la guerra para obtener la paz",100,"4029","NA","NA","NA"
21,"lo","pron","[3rd person] (dir obj-m)","lo compré en la tienda",100,"92519","NA","NA","NA"
1168,"aparato","nm","apparatus, device","un sismómetro es un aparato que simplemente detecta las ondas",97,"1218","NA","NA","NA"
480,"alguien","pron","somebody, someone, anyone","alguien vino a preguntar por usted",96,"3978","high","NA","NA"
2410,"doña","nf","courtesy title (f), Mrs.","todos conocían bien a su madre, doña Blanca Vergara",72,"1787","NA","NA","low"
46,"saber","v","to know (a fact), find out","ellos lo saben y lo reconocen",100,"37092","high","NA","NA"
1696,"ligero","adj","light (in weight), slight","se siente ligero, ingrávido y, de pronto, otra vez pesado",93,"914","NA","NA","NA"
1754,"evolución","nf","evolution, development","hablan de Darwin y de varias teorías sobre la evolución de la especie",91,"1446","high","low","NA"
271,"convertir","v","to convert, change, become","el café llegó a convertirse en la bebida más popular de Cuba",100,"6423","NA","NA","NA"
2351,"distante","adj","distant, far, remote","que siempre recuerda de su pasado distante cuando era niño",89,"404","NA","NA","NA"
1017,"policía","nc","police, police force, police officer","el policía dirige el tráfico, que no pase nadie",92,"2134","NA","NA","NA"
426,"económico","adj","economic","es necesario tener progreso económico",99,"6548","high","NA","NA"
1162,"comienzo","nm","start, beginning","y esto es el comienzo de todo lo que vino después",93,"1806","NA","NA","NA"
2652,"particularmente","adv","particularly, personally","los problemas eran particularmente los de su época",80,"579","NA","NA","NA"
2565,"asustar","v","to frighten, scare","le gritó sólo para asustar a su hermanito",77,"658","high","NA","low"
1342,"brillante","adj","brilliant, shiny, sparkling","dejando entrever un sol brillante y frío",96,"1223","NA","NA","NA"
1458,"organismo","nm","organization, organism, (human) body","¿han recibido alguna ayuda de un organismo privado?",93,"2197","NA","low","NA"
6,"en","prep","in, on","no está en la casa",100,"507233","NA","NA","NA"
1272,"molestar","v","to bother, disturb, upset","esto me molestó de verdad, pero traté de dominar mi desagrado",94,"1117","high","NA","NA"
538,"autor","nm/f","writer, author","cuando un autor escribe un mal libro, se cierra o se tira a la papelera",100,"2835","NA","NA","NA"
343,"ello","pron","it (subj-n)","¿qué se perdía con ello?",99,"4804","NA","NA","NA"
1111,"iglesia","nf","church","yo me voy a la iglesia, a rezar por mi alma",92,"1908","NA","NA","NA"
124,"conocer","v","to know (someone or place)","ella conoce muy bien a Nicolás",100,"12264","NA","NA","NA"
1203,"marchar","v","to go, leave, march","recogió la cartera y se marchó a toda prisa",93,"1585","NA","NA","NA"
1919,"agotar","v","to exhaust, wear out, run out","el tiempo se agota, y la muerte lo cerca sin remedio",95,"514","NA","NA","NA"
2191,"tonto","adj","stupid, dumb","siempre me pareció algo tonto y sin sentido",82,"894","NA","NA","low"
221,"aparecer","v","to appear","detrás suyo, Teresa apareció por la puerta de la cocina",100,"5938","NA","NA","NA"
996,"reducir","v","to reduce","el importe del maíz se reducía a cero",98,"1936","NA","NA","NA"
1697,"militar","nm","soldier, military person","bueno el aeropuerto estaba protegido por los militares",93,"959","NA","NA","NA"
620,"brazo","nm","arm","nos tomamos de la mano y del brazo mientras caminábamos",99,"3950","NA","NA","NA"
1630,"claridad","nf","clearness, clarity","mi mirada borrosa no me permite ver con claridad",95,"839","NA","NA","NA"
1559,"julio","nm","July","que vamos a tener el cuatro de julio, el día de la independencia",93,"1252","NA","NA","NA"
299,"realizar","v","to fulfill, carry out","el viaje se realizó en noviembre",100,"6698","NA","NA","NA"
641,"imponer","v","to impose, enforce","a menudo trataba de imponer su voluntad",100,"2523","NA","NA","NA"
1520,"impulso","nm","impulse, momentum","lo que realmente me dio el impulso fue una cosa muy curiosa",96,"1138","NA","NA","NA"
2478,"ordinario","adj","vulgar, ordinary","pero qué ordinario, ¿cómo es que le dice eso a una mujer?",89,"445","NA","NA","NA"
1762,"lavar","v","to wash","primero iría a lavar toda la ropa",88,"931","NA","NA","NA"
2205,"oferta","nf","offer, bid, supply","es una oferta tentadora, yo le aconsejo que la acepte",85,"849","NA","NA","NA"
1024,"enemigo","nm","enemy","el enemigo de mi enemigo es mi amigo",98,"1690","NA","NA","NA"
335,"demasiado","adj","too much, too many","esta casa es demasiado grande para una persona",100,"4760","NA","NA","NA"
1961,"nube","nf","cloud","una nube ocultó el sol",85,"1106","NA","NA","NA"
546,"causa","nf","cause","la barrera puede romperse a intervalos por causa de las mareas",100,"2967","NA","NA","NA"
1512,"elevado","adj","elevated, high, lofty","existía un elevado índice de pobreza y analfabetismo",97,"1093","NA","NA","NA"
926,"dominar","v","to dominate, master","dominaba tres lenguas: el griego, el latín, y el osco",99,"1638","NA","NA","NA"
95,"nada","pron","nothing, (not) at all","no hay nada que hacer",100,"19365","high","NA","NA"
2388,"orgulloso","adj","proud, arrogant","era orgulloso como un pavo real",86,"508","NA","NA","NA"
768,"par","nmf","pair, couple (m); a la par: at same time","acaba de comprar un par de zapatos",99,"1909","NA","NA","NA"
1002,"doble","adj","double","como personaje solitario investido de doble personalidad",100,"1093","NA","NA","NA"
2079,"estricto","adj","strict, rigorous","la expresión es justa en su sentido más estricto",93,"577","NA","NA","NA"
180,"embargo","nm","sin embargo: nevertheless","el concierto tendrá, sin embargo, un significado especial",100,"8145","NA","NA","NA"
2629,"tesoro","nm","treasure, thesaurus","las mil llaves de oro de las estrellas, como un tesoro intocable...",81,"429","NA","NA","NA"
192,"historia","nf","history, story","los períodos más diversos de la historia del arte",100,"7080","NA","NA","NA"
1359,"signo","nm","sign, mark, symbol","su signo del Zodíaco coincide con el signo afortunado",96,"1190","NA","NA","NA"
309,"siguiente","adj","following, next","al día siguiente se levantó más decidido que nunca",100,"4055","NA","NA","NA"
73,"bien","adv","well","y entonces hice bien en quedarme",100,"21589","high","NA","NA"
368,"ofrecer","v","to offer, present","el Hotel D. ofrece su menú en francés",100,"3730","NA","NA","NA"
2092,"dignidad","nf","dignity","se gana con el respeto y la seguridad de la dignidad humana",89,"633","NA","NA","NA"
2542,"nave","nf","spacecraft, ship","la nave espacial Apolo, en su misión a la Luna",79,"801","NA","NA","NA"
901,"pareja","nf","couple, pair","una pareja de enamorados se besa",98,"1670","NA","NA","NA"
1371,"girar","v","to rotate, revolve","hacía girar el sombrero en la cabeza",92,"1251","NA","NA","NA"
1022,"llamada","nf","call, knock","el teléfono sonaba y sonaba, y la llamada no tenía respuesta",96,"1434","NA","NA","NA"
1777,"adelantar","v","to move forward","vamos a tener que adelantar la fecha",94,"677","NA","NA","NA"
2328,"reconstruir","v","to reconstruct","trataba de reconstruir qué había pasado con él",92,"373","NA","NA","NA"
2614,"entorno","nm","environment, surroundings","sumamente susceptible a las influencias del entorno musical",80,"665","NA","NA","NA"
764,"contestar","v","to answer, reply","no puede contestar esta pregunta",96,"2428","NA","NA","NA"
2061,"asiento","nm","seat, chair","le ofreció el asiento a una persona vieja",86,"861","NA","NA","NA"
927,"determinado","adj","determined, fixed","se levantó con aire determinado para marcharse",95,"2786","high","low","NA"
1971,"polvo","nm","dust, powder","con la mano limpió el polvo de uno de los cristales",88,"1112","NA","NA","NA"
731,"espíritu","nm","spirit, ghost","son, en cambio, una muestra del mismo espíritu de intolerancia",100,"2190","NA","NA","NA"
2376,"encerrado","adj","locked (up)","desgraciadamente, no salgo, estoy encerrada aquí en casa",84,"519","NA","NA","NA"
2240,"perdón","nm","forgiveness, pardon","hizo la señal de la cruz y pidió perdón por sus pecados",81,"806","high","NA","low"
1486,"amar","v","to love","cuánto amaba a ese muchachito hermoso",88,"1638","NA","NA","NA"
24,"más","adj","more","él necesitaba más dinero",100,"92352","NA","NA","NA"
1437,"previo","adj","previous","los cambiaron sin previo aviso",96,"1178","NA","NA","NA"
78,"cosa","nf","thing","estoy ya interesado en otra cosa",100,"23943","high","NA","NA"
1599,"mecanismo","nm","mechanism","que establezcamos un mecanismo para decidir la reforma del Estado",93,"1494","NA","NA","NA"
748,"cargar","v","to load (up), carry","cargó en su mochila todo lo necesario y partió",100,"1779","NA","NA","NA"
2470,"desaparición","nf","disappearance","notaban mi desaparición y mi regreso",88,"441","NA","NA","NA"
612,"aprovechar","v","to take advantage of","yo quiero aprovechar esta oportunidad",100,"1830","NA","NA","NA"
839,"lectura","nf","reading","orientaba mi afición por las letras con la lectura de los clásicos",100,"1359","NA","NA","NA"
2086,"previsto","adj","foreseen, planned","¿tiene previsto algún plan de consulta?",89,"739","NA","NA","NA"
2232,"concepción","nf","conception","presupone una concepción de la realidad no como algo ya dado",86,"1091","NA","low","NA"
1462,"departamento","nm","department, apartment","la noticia se filtró del departamento central de policía",90,"1110","NA","NA","NA"
760,"entero","adj","entire, whole, complete","son conocidos en el mundo entero",99,"1765","NA","NA","NA"
2203,"sorprendente","adj","surprising, astonishing","muestra la sorprendente generosidad del zar",90,"498","NA","NA","NA"
453,"vivo","adj","alive, bright","el país está musicalmente vivo y palpitante",100,"3024","NA","NA","NA"
1772,"comparación","nf","comparison","se ha hecho una comparación entre Calderón y Shakespeare",95,"604","NA","NA","NA"
382,"repetir","v","to repeat","no voy a repetir este pecado más en la vida",100,"3210","NA","NA","NA"
493,"señalar","v","to point (out), signal","nos hizo señas y señaló hacia adelante",100,"3347","NA","NA","NA"
1769,"exclusivamente","adv","exclusively","la economía no depende exclusivamente del trabajo",93,"806","high","NA","NA"
1438,"participación","nf","participation, involvement","pero debemos tener una mayor participación cívica",96,"1390","NA","NA","NA"
1861,"encerrar","v","to shut (in)","definían espacios para encerrar sus caballos",92,"708","NA","NA","NA"
933,"práctica","nf","practice, skill","necesitas poner en práctica tus ideas",99,"1879","NA","NA","NA"
1339,"nacimiento","nm","birth, origin","la Navidad, que se conmemora el nacimiento de Jesucristo en Belén",98,"919","NA","NA","NA"
851,"extender","v","to extend, spread","ella extiende sobre la mesita un mapa astral",97,"2356","NA","NA","NA"
1122,"reacción","nf","reaction","me llama para despedirse, mi reacción inmediata le sorprende",98,"1695","NA","NA","NA"
940,"izquierda","nf","left","los miró de arriba abajo y de izquierda a derecha",98,"1400","NA","NA","NA"
145,"trabajo","nm","work, job, effort","pasó su vida entera dedicado a su trabajo",100,"9842","NA","NA","NA"
844,"destino","nm","destination, destiny","para abordar su vuelo con destino a Estados Unidos",99,"1818","NA","NA","NA"
110,"esto","pron","this (n)","quiero esto o aquello",100,"15165","high","NA","NA"
1350,"inferior","adj","lower, inferior","bajó a la parte inferior del puente",96,"1192","NA","NA","NA"
41,"él","pron","he, [ellos] them (m)","él es bastante simpático",100,"38597","NA","NA","NA"
2334,"horror","nm","horror, atrocity","también me ha hecho recordar escenas de horror y destrucción",84,"596","NA","NA","NA"
1463,"generalmente","adv","generally, usually","a las diez y media generalmente el movimiento comenzaba",94,"1218","NA","NA","NA"
2097,"curar","v","to cure","la mayoría de los milagros eran para curar a los enfermos",87,"542","NA","NA","NA"
2160,"onda","nf","wave, ripple","el agujero negro emite grandes cantidades de ondas de rayos X",85,"1284","NA","NA","NA"
841,"lenguaje","nm","language, speech","dueño de un lenguaje basado en el habla popular",100,"2051","NA","NA","NA"
2032,"muerto","nm","dead person","acá todos descansan, los vivos y los muertos",85,"875","NA","NA","NA"
1201,"pierna","nf","leg","tenían las piernas y el cuerpo adaptados para caminar erguidos",92,"2354","NA","NA","NA"
114,"antes","adv","before","quería verla antes de salir",100,"13259","NA","NA","NA"
1023,"sensación","nf","sensation, feeling","la nostalgia me da una sensación de juventud",96,"1737","NA","NA","NA"
590,"personal","adj","personal","según mi propia experiencia personal como tal",100,"2401","NA","NA","NA"
602,"siquiera","adv","even (if)","ni siquiera ha preguntado mi nombre",98,"3288","NA","NA","NA"
2025,"banda","nf","(musical) band, sash","toco el clarinete y la guitarra en la banda del pueblo",89,"900","NA","NA","NA"
248,"calle","nf","street","llegó a la esquina de la calle La Merced y la Huancavelica",100,"6253","NA","NA","NA"
236,"ante","prep","before, in the presence of","qué hacer y cómo actuar ante estas circunstancias",100,"7560","NA","NA","NA"
1288,"acerca","adv","about, concerning","escribió un cuento acerca de un muchacho",94,"1276","NA","NA","NA"
1418,"tratamiento","nm","treatment, processing","se utiliza para el tratamiento de pacientes que sufren hipertensión",95,"1509","NA","NA","NA"
1925,"factor","nm","factor, cause, influence","¿la caza controlada puede ser un factor de equilibrio de fauna?",86,"1996","high","low","NA"
2370,"capitán","nm","captain, chief","este capitán era comandante de la flota",80,"998","NA","NA","NA"
1921,"continuación","nf","continuation, follow-up","la continuación de la música clásica es la música moderna",92,"679","NA","NA","NA"
907,"frío","adj","cold","las temperaturas son aún más frías durante el invierno",98,"2000","NA","NA","NA"
864,"negocio","nm","business, transaction","a base de negocios ilícitos acumuló una fortuna importante",98,"1634","NA","NA","NA"
2490,"intercambio","nm","exchange, interchange","un club internacional de intercambio de postales antiguas",86,"528","NA","NA","NA"
794,"construcción","nf","construction","suelen instalarse durante la construcción del edificio",100,"1930","NA","NA","NA"
2510,"misa","nf","(religious) mass","me lo pongo para la misa del domingo",79,"656","NA","NA","NA"
637,"puro","adj","pure, clean","se llenaba los pulmones con el aire puro",100,"2282","NA","NA","NA"
541,"preferir","v","to prefer","en realidad prefiero una buena hamburguesa con una coca cola",100,"2304","NA","NA","NA"
1650,"tienda","nf","shop, store, tent","la tienda que me gustaba mucho por la variedad de muebles",91,"894","NA","NA","NA"
2550,"descripción","nf","description","¿podría hacer una descripción del pueblecito ese?",84,"602","NA","NA","NA"
1337,"premio","nm","prize, reward","Pavlov recibe el Premio Nobel por sus estudios sobre la fisiología",93,"925","NA","NA","NA"
2540,"intimidad","nf","private life, intimacy","le gusta la soledad y guardada celosamente la intimidad",82,"558","NA","NA","NA"
570,"consecuencia","nf","consequence","la obstrucción se produce como consecuencia de la aparición de grasas",99,"2787","NA","NA","NA"
683,"ambiente","nm","environment, atmosphere","un ambiente silencioso le ayudó para concentrarse",100,"2039","NA","NA","NA"
600,"vuelta","nf","return, turn","¿y el viaje de ida y vuelta en barco?",100,"2385","NA","NA","NA"
1217,"lluvia","nf","rain","el Cairo recibe sólo 26 mm de precipitaciones de lluvia al año",96,"1686","NA","NA","NA"
2575,"dependencia","nf","dependence, dependency","la dependencia económica de estos países con respecto a la URSS",84,"525","NA","NA","NA"
1778,"canto","nm","singing, chant","mezclaban canto y baile español en coreografías muy simples",92,"809","NA","NA","NA"
2555,"heredar","v","to inherit","mi madre heredó la casa de su padre",86,"352","NA","NA","NA"
1909,"ascender","v","to ascend, be promoted","ascender o descender a otros niveles sociales",94,"614","NA","NA","NA"
1685,"reloj","nm","clock, watch","el reloj de la torre daba las doce",91,"1119","NA","NA","NA"
1026,"luchar","v","to fight, wrestle","habían dedicado su existencia a luchar contra el libertinaje",98,"1308","NA","NA","NA"
3,"que","conj","that, which","dice que no",100,"662653","NA","NA","NA"
1256,"hermana","nf","sister","fue mi papá, fue mi hermana, fueron mis hijos, fue mi suegra",93,"1947","NA","NA","NA"
2516,"arquitectura","nf","architecture","alquiló un lugar, con una arquitectura verdaderamente fascinante",79,"990","NA","NA","NA"
536,"andar","v","to walk, function","casi nadie andaba por las calles",95,"4203","high","NA","NA"
1726,"combatir","v","to fight against","es necesario evitar y combatir al materialismo",94,"617","NA","NA","NA"
1112,"ayer","adv","yesterday","ayer se levantó temprano",89,"2887","high","NA","NA"
475,"nivel","nm","level","el nivel del mar empezaba a aumentar",98,"5116","high","NA","NA"
2075,"metal","nm","metal","algunos metales se vuelven superconductores",86,"962","NA","NA","NA"
56,"dos","num","two","de allí salieron dos hermanas solteras",100,"27733","NA","NA","NA"
2457,"ruptura","nf","break-up, rupture","hasta la ruptura de la Unión Soviética en 1991",88,"613","NA","NA","NA"
796,"terreno","nm","ground, earth, terrain","éste es un terreno muy árido",99,"1797","NA","NA","NA"
1908,"prestigio","nm","prestige","la Real Academia era un centro de prestigio social",93,"636","NA","NA","NA"
2496,"secar","v","to dry","se secó el sudor de la frente con un pañuelo",83,"561","NA","NA","NA"
2258,"funcionamiento","nm","functioning, operation","sabemos el correcto funcionamiento del sistema",87,"689","NA","NA","NA"
2602,"sospecha","nf","suspicion","vivió con la sospecha de que alguien lo observaba",83,"524","NA","NA","NA"
1356,"positivo","adj","positive","clasificamos en sí y no, en positivo y negativo",93,"1436","high","low","NA"
2192,"risa","nf","laugh, chuckle","es una risa larga, continuada, alegre y contagiosa",80,"1388","NA","NA","low"
2101,"ejemplar","nm","copy, issue","un ejemplar de la cuarta edición de «Los Caprichos» de Goya",89,"489","NA","NA","NA"
159,"además","adv","also, as well, besides","además de español, ¿hablas algún otro idioma?",100,"9917","high","NA","NA"
950,"flor","nf","flower","el clavel y las rosas, tulipán y ¿cuál era la otra flor?",93,"2226","NA","NA","NA"
2295,"básico","adj","basic, essential","el salario no alcanzaba para cubrir las necesidades básicas",83,"1651","high","low","NA"
1395,"pegar","v","to hit, stick (on)","empezaron a tirarme cosas; uno me pegó y yo me defendí",89,"1860","high","NA","low"
1474,"riqueza","nf","riches, wealth","las viejas glorias de España, la riqueza de su imperio del siglo XVI",95,"970","NA","NA","NA"
1076,"documento","nm","document","le pidieron el documento de identidad",99,"1397","NA","NA","NA"
211,"todavía","adv","still, yet","los animales que todavía están vivos",99,"7382","high","NA","NA"
889,"control","nm","control","y esto, sin ese control, se ha vuelto salvaje",97,"2570","NA","NA","NA"
1409,"únicamente","adv","only","me dedico únicamente a mi arte",96,"934","NA","NA","NA"
1488,"universal","adj","universal","crearon una declaración universal de los derechos humanos",95,"1107","NA","NA","NA"
2186,"héroe","nm","hero","describe las hazañas de un héroe de la cultura escandinava, Beowulf",85,"691","NA","NA","NA"
492,"ocho","num","eight","entre las siete y media, ocho de la mañana",100,"2443","high","NA","NA"
266,"acabar","v","acabar de V: to have just Ved; finish","la que ahora se acaba de traducir al castellano",99,"6343","NA","NA","NA"
1218,"ejército","nm","army","le impidió seguir la ofensiva contra el ejército iraquí hasta el final",95,"1596","NA","NA","NA"
2428,"resuelto","adj","resolved, determined","esto sí es oportunismo, lo hacen cuando ya está resuelto",87,"396","NA","NA","NA"
1635,"arena","nf","sand","los pies descalzos juegan con la arena limpia y granulosa del arroyo",96,"921","NA","NA","NA"
2093,"escándalo","nm","scandal","el divorcio sería un escándalo enorme",90,"666","NA","NA","NA"
1220,"tren","nm","train, convoy","el tren vuelve a parar en otra estación",94,"1248","NA","NA","NA"
2507,"conversar","v","to converse, talk","iban a tomar el té y a conversar de libros",77,"831","NA","NA","low"
1422,"mayo","nm","May","estoy hablando del mes de mayo de 1996",94,"1201","NA","NA","NA"
96,"cada","adj","each, every","de aprender cada día un poco más",100,"17155","NA","NA","NA"
365,"diferente","adj","different, separate","en un entorno urbano el reto, en cambio, es diferente",99,"5066","NA","NA","NA"
